Graphene sheet in zig-zag direction

8948 atoms 

1 atom types 

#simulation box 
-1.302486 149.278486 xlo xhi
-0.698000 151.819000 ylo yhi
-100.000000 100.000000 zlo zhi

Masses

1 12.000000 

Atoms

155 1 9.776735 2.419467 0.003411 
156 1 10.476074 3.628827 0.007384 
157 1 12.566428 2.427114 0.002691 
158 1 11.873655 3.628797 0.002875 
159 1 13.960911 2.423702 0.006834 
160 1 14.663466 3.631167 0.006444 
161 1 16.758476 2.424730 0.006358 
162 1 16.063452 3.628999 0.007093 
163 1 18.150362 2.419134 0.006073 
164 1 18.850501 3.631497 0.006619 
165 1 20.947703 2.421442 0.006620 
166 1 20.246162 3.635329 0.008329 
167 1 22.338564 2.424075 0.005822 
168 1 23.039407 3.635609 0.002648 
169 1 25.131181 2.419132 0.009398 
170 1 24.436456 3.631705 0.006393 
171 1 26.529447 2.424413 0.005439 
172 1 27.229210 3.632135 0.009937 
173 1 29.318187 2.418998 0.001097 
174 1 28.618636 3.630956 0.004484 
175 1 30.715658 2.425575 0.006279 
176 1 31.417720 3.636239 0.009727 
177 1 33.505920 2.419329 0.006963 
178 1 32.806938 3.632164 0.005303 
179 1 34.908611 2.422789 0.003935 
180 1 35.604714 3.634323 0.005201 
181 1 37.695477 2.419440 0.005861 
182 1 36.996621 3.627355 0.007549 
183 1 39.090428 2.422364 0.006878 
184 1 39.789592 3.634273 0.003947 
185 1 41.886834 2.424980 0.004423 
186 1 41.182196 3.630219 0.004243 
187 1 43.278703 2.419911 0.008217 
188 1 43.978299 3.635788 0.003912 
189 1 46.075691 2.421908 0.008085 
190 1 45.377551 3.630684 0.002160 
191 1 47.471904 2.427433 0.003276 
192 1 48.168713 3.631296 0.008335 
193 1 50.263689 2.419613 0.008620 
194 1 49.567899 3.632054 0.008843 
195 1 51.657880 2.419488 0.001999 
196 1 52.354070 3.634397 0.008256 
197 1 54.451900 2.421125 0.005341 
198 1 53.746900 3.628027 0.001363 
199 1 55.846787 2.422892 0.001897 
200 1 56.542950 3.628386 0.000550 
201 1 58.640507 2.423546 0.009296 
202 1 57.940967 3.632738 0.008154 
203 1 60.036790 2.427829 0.000005 
204 1 60.734654 3.633036 0.009900 
205 1 62.825277 2.422735 0.008013 
206 1 62.124278 3.631891 0.009009 
207 1 64.221747 2.426392 0.007386 
208 1 64.919860 3.629377 0.006664 
209 1 67.008835 2.424200 0.006609 
210 1 66.317298 3.635818 0.009823 
211 1 68.411690 2.423754 0.009283 
212 1 69.107801 3.627080 0.001209 
213 1 71.204627 2.422783 0.008449 
214 1 70.500094 3.632433 0.006299 
215 1 72.592320 2.424087 0.003624 
216 1 73.290495 3.631806 0.001925 
217 1 75.385231 2.419995 0.001465 
218 1 74.687891 3.627337 0.006352 
219 1 76.782819 2.423326 0.006952 
220 1 77.482991 3.632268 0.004452 
221 1 79.573239 2.422844 0.008530 
222 1 78.882739 3.629613 0.002085 
223 1 80.973650 2.424343 0.004170 
224 1 81.668060 3.636389 0.000821 
225 1 83.761057 2.419360 0.001665 
226 1 83.068210 3.632647 0.000521 
227 1 85.165312 2.425227 0.007378 
228 1 85.854634 3.635514 0.009344 
229 1 87.957844 2.426529 0.007856 
230 1 87.255134 3.628686 0.003986 
231 1 89.345339 2.418249 0.009391 
232 1 90.045013 3.629865 0.003329 
233 1 92.140671 2.424422 0.000252 
234 1 91.446422 3.632500 0.008541 
235 1 93.535479 2.422400 0.000542 
236 1 94.231771 3.633538 0.003308 
237 1 96.332985 2.419122 0.009884 
238 1 95.631400 3.633979 0.009995 
239 1 97.722878 2.422085 0.004648 
240 1 98.425640 3.635092 0.001002 
241 1 100.513781 2.421536 0.000567 
